編號,案類,發生(現)日期,發生時段,發生(現)地點
310,住宅竊盜,1040515,12~14,台北市內湖區康寧路1段156巷7弄1~30號
311,住宅竊盜,1040515,18~20,台北市北投區榮光里致遠一路2段40巷1弄1~30號
312,住宅竊盜,1040518,08~10,台北縣永和市復興街54巷1~30號
313,住宅竊盜,1040518,12~14,台北市中正區黎明里信陽街1~30號
314,住宅竊盜,1040518,14~16,台北市萬華區東園街66巷1~30號
315,住宅竊盜,1040521,16~18,台北縣三重市仁愛街192巷1~30號
316,住宅竊盜,1040521,18~20,台北市北投區文化里文化三路1~30號
317,住宅竊盜,1040521,22~24,台北市士林區福志里24鄰中山北路5段756巷1~30號
318,住宅竊盜,1040522,18~20,台北市中正區板溪里南昌路2段91~120號
319,住宅竊盜,1040523,10~12,台北市松山區南京東路5段291巷44弄1~30號
320,住宅竊盜,1040523,10~12,台北市松山區南京東路5段59巷28弄1~30號
321,住宅竊盜,1040525,20~22,台北市文山區試院里木柵路1段31~60號
322,住宅竊盜,1040526,06~08,台北市北投區洲美里洲美街81巷1~30號
323,住宅竊盜,1040526,16~18,台北市中山區錦州街181~210號
324,住宅竊盜,1040526,22~24,台北市中山區林森北路119巷1~30號
325,住宅竊盜,1040528,06~08,台北市文山區萬祥里興隆路1段70巷1~30號
326,住宅竊盜,1040528,20~22,台北市士林區永倫里6鄰社中街426巷1~30號
327,住宅竊盜,1040529,16~18,台北市大同區斯文里承德路3段85巷1~30號
328,住宅竊盜,1040529,22~24,台北市大同區南京西路31~60號
329,住宅竊盜,1040530,10~12,台北市松山區民生東路5段36巷6弄1~30號
330,住宅竊盜,1040531,22~24,台北市文山區興得里興隆路3段192巷8弄31~60號
331,住宅竊盜,1040531,22~24,台北市信義區大道里林口街151~180號
332,住宅竊盜,1040601,00~02,台北市中山區八德路2段241~270號
333,住宅竊盜,1040601,10~12,台北縣三芝鄉三民路31~60號
334,住宅竊盜,1040601,20~22,台北縣土城市中洲路67巷1~30號
335,住宅竊盜,1040602,14~16,台北市北投區泉源里東昇路91~120號
336,住宅竊盜,1040603,00~02,台北市中正區光復里7號
337,住宅竊盜,1040603,16~18,台北市中山區長安東路2段31~60號
338,住宅竊盜,1040603,16~18,自立路151~180號
339,住宅竊盜,1040604,14~16,台北市中山區樂群二路181~210號
340,住宅竊盜,1040604,16~18,自立路151~180號
341,住宅竊盜,1040606,04~06,台北市中山區錦州街31~60號
342,住宅竊盜,1040606,12~14,台北市松山區南京東路5段123巷8弄1~30號
343,住宅竊盜,1040606,20~22,台北市松山區八德路3段12巷52弄1~30號
344,住宅竊盜,1040607,06~08,台北市中山區中山北路2段65巷2弄1~30號
345,住宅竊盜,1040607,10~12,台北市中山區農安街125巷1~30號
346,住宅竊盜,1040607,12~14,台北市大安區民炤里新生南路1段137巷1~30號
347,住宅竊盜,1040608,06~08,台北市中正區黎明里懷寧街61~90號
348,住宅竊盜,1040608,08~10,台北市中山區民權東路1段31~60號
349,住宅竊盜,1040608,14~16,台北市士林區福林里中山北路5段460巷1~30號
350,住宅竊盜,1040608,22~24,台北市中山區長春路61~90號
351,住宅竊盜,1040609,16~18,桃園縣平鎮市環南路403巷1~30號
352,住宅竊盜,1040609,16~18,台北市文山區試院里和興路91~120號
353,住宅竊盜,1040611,20~22,台北市萬華區桂林路242巷31~60號
354,住宅竊盜,1040612,10~12,台北市信義區三張里莊敬路391~420號
355,住宅竊盜,1040612,20~22,桃園縣大溪鎮永福里信義路1261~1290號
356,住宅竊盜,1040613,12~14,台北市中山區新生北路3段31~60號
357,住宅竊盜,1040613,16~18,台北市中正區板溪里羅斯福路3段84巷1弄1~30號
